"region","x","y","date","i","metrics","values"
"Barents Sea",694848.642752085,-1964929.57515727,"19980401",1,"avg_chla",0.484175925318184
"Barents Sea",694848.642752085,-1964929.57515727,"19980401",1,"median_chla",0.362138330936432
"Barents Sea",694848.642752085,-1964929.57515727,"19980401",1,"sd_chla",0.513285815509001
"Barents Sea",694848.642752085,-1964929.57515727,"19980401",1,"min_chla",0.0906178504228592
"Barents Sea",694848.642752085,-1964929.57515727,"19980401",1,"max_chla",6.84208965301514
"Barents Sea",694848.642752085,-1964929.57515727,"19980401",1,"n_pxl",936
"Barents Sea",694848.642752085,-1964929.57515727,"19980401",1,"p05_chla",0.163338843733072
"Barents Sea",694848.642752085,-1964929.57515727,"19980401",1,"p95_chla",1.27929103374481
"Beaufort Sea",-1581910.70197174,1612515.84080145,"19980401",1,"avg_chla",1.36653345823288
"Beaufort Sea",-1581910.70197174,1612515.84080145,"19980401",1,"median_chla",1.35579997301102
"Beaufort Sea",-1581910.70197174,1612515.84080145,"19980401",1,"sd_chla",0.138383796733139
"Beaufort Sea",-1581910.70197174,1612515.84080145,"19980401",1,"min_chla",1.24045300483704
"Beaufort Sea",-1581910.70197174,1612515.84080145,"19980401",1,"max_chla",1.54350173473358
"Beaufort Sea",-1581910.70197174,1612515.84080145,"19980401",1,"n_pxl",6
"Beaufort Sea",-1581910.70197174,1612515.84080145,"19980401",1,"p05_chla",1.24045300483704
"Beaufort Sea",-1581910.70197174,1612515.84080145,"19980401",1,"p95_chla",1.52342456579208
"Nordic Sea",-321742.959795419,-2345857.84512311,"19980401",1,"avg_chla",0.276897343937287
"Nordic Sea",-321742.959795419,-2345857.84512311,"19980401",1,"median_chla",0.251222118735313
"Nordic Sea",-321742.959795419,-2345857.84512311,"19980401",1,"sd_chla",0.109192493855765
"Nordic Sea",-321742.959795419,-2345857.84512311,"19980401",1,"min_chla",0.0761170834302902
"Nordic Sea",-321742.959795419,-2345857.84512311,"19980401",1,"max_chla",1.2169634103775
"Nordic Sea",-321742.959795419,-2345857.84512311,"19980401",1,"n_pxl",1786
"Nordic Sea",-321742.959795419,-2345857.84512311,"19980401",1,"p05_chla",0.152617767453194
"Nordic Sea",-321742.959795419,-2345857.84512311,"19980401",1,"p95_chla",0.485001906752586
